toros_field_id ra dec l b program exposure_time cadence ephemeris period observations moon_phase
09.018 151.579 -78.616 295.046 -18.361 main_survey 300.000 1 0 0 0 0
09.019 157.895 -78.616 296.115 -17.641 main_survey 300.000 1 0 0 0 0
09.01a 164.211 -78.616 297.252 -17.029 main_survey 300.000 1 0 0 0 0
09.01b 170.526 -78.616 298.445 -16.530 main_survey 300.000 1 0 0 0 0
09.01c 176.842 -78.616 299.681 -16.151 main_survey 300.000 1 0 0 0 0
09.01d 183.158 -78.616 300.950 -15.894 main_survey 300.000 1 0 0 0 0
09.01e 189.474 -78.616 302.238 -15.763 main_survey 300.000 1 0 0 0 0
09.01f 195.789 -78.616 303.533 -15.758 main_survey 300.000 1 0 0 0 0
09.020 202.105 -78.616 304.821 -15.880 main_survey 300.000 1 0 0 0 0
09.021 208.421 -78.616 306.092 -16.128 main_survey 300.000 1 0 0 0 0
09.022 214.737 -78.616 307.331 -16.499 main_survey 300.000 1 0 0 0 0
09.023 221.053 -78.616 308.528 -16.989 main_survey 300.000 1 0 0 0 0
09.024 227.368 -78.616 309.669 -17.593 main_survey 300.000 1 0 0 0 0
09.025 233.684 -78.616 310.743 -18.306 main_survey 300.000 1 0 0 0 0
09.026 240.000 -78.616 311.740 -19.119 main_survey 300.000 1 0 0 0 0
09.027 246.316 -78.616 312.649 -20.024 main_survey 300.000 1 0 0 0 0
09.028 252.632 -78.616 313.458 -21.013 main_survey 300.000 1 0 0 0 0
09.029 258.947 -78.616 314.160 -22.074 main_survey 300.000 1 0 0 0 0
09.02a 265.263 -78.616 314.744 -23.198 main_survey 300.000 1 0 0 0 0
09.02b 271.579 -78.616 315.201 -24.371 main_survey 300.000 1 0 0 0 0
09.02c 277.895 -78.616 315.524 -25.583 main_survey 300.000 1 0 0 0 0
09.02d 284.211 -78.616 315.706 -26.818 main_survey 300.000 1 0 0 0 0
09.02e 290.526 -78.616 315.740 -28.063 main_survey 300.000 1 0 0 0 0
09.02f 296.842 -78.616 315.620 -29.305 main_survey 300.000 1 0 0 0 0
